scientific_name,ott_name,closest_relative
Phalacrocorax aristotelis,Phalacrocorax aristotelis,Pelecanus crispus
Spermophilus citellus,Spermophilus citellus,Mus musculus
Erpetoichthys calabaricus,Erpetoichthys calabaricus,Cyprinus carpio
Anabas testudineus,Anabas testudineus,Betta splendens
Gouania willdenowi,Gouania willdenowi,Amphiprion ocellaris
Thalassophryne amazonica,Thalassophryne amazonica,Amphiprion ocellaris
Denticeps clupeoides,Denticeps clupeoides,Clupea harengus
Danio kyathit,Danio kyathit,Cyprinus carpio
Harpagifer antarcticus,Harpagifer antarcticus,Pungitius pungitius
Trematomus bernacchii,Trematomus bernacchii,Pungitius pungitius
Neostethus bicornis,Neostethus bicornis,Poecilia reticulata
Danio aesculapii,Danio aesculapii,Cyprinus carpio
Cottoperca gobio,Cottoperca gobio,Pungitius pungitius
Gymnodraco acuticeps,Gymnodraco acuticeps,Pungitius pungitius
Betta splendens,Betta splendens,Betta splendens
Takifugu rubripes,Takifugu rubripes,Larimichthys crocea
Sparus aurata,Sparus aurata,Larimichthys crocea
Rhinatrema bivittatum,Rhinatrema bivittatum,Mus musculus
Microcaecilia unicolor,Microcaecilia unicolor,Mus musculus
Geotrypetes seraphini,Geotrypetes seraphini,Mus musculus
Hyperoodon ampullatus,Hyperoodon ampullatus,Tursiops truncatus
Solea solea,Solea solea,Cynoglossus semilaevis
Platichthys flesus,Platichthys flesus,Paralichthys olivaceus
Plecotus auritus,Plecotus auritus,Rousettus aegyptiacus
Ammodytes marinus,Ammodytes marinus,Larimichthys crocea
Argentina silus,Argentina silus,Salmo salar
Raja brachyura,Raja brachyura,Mus musculus
Scophthalmus maximus,Scophthalmus maximus,Paralichthys olivaceus
Scomber scombrus,Scomber scombrus,Amphiprion ocellaris
Muntiacus reevesi,Muntiacus reevesi,Cervus nippon
Delphinus delphis,Delphinus delphis,Tursiops truncatus
Phocoena phocoena,Phocoena phocoena,Tursiops truncatus
Lagenorhynchus albirostris,Lagenorhynchus albirostris,Tursiops truncatus
Globicephala melas,Globicephala melas,Tursiops truncatus
Stenella coeruleoalba,Stenella coeruleoalba,Tursiops truncatus
Balaenoptera acutorostrata,Balaenoptera acutorostrata,Tursiops truncatus
Thunnus thynnus,Thunnus thynnus,Syngnathus scovelli
Zootoca vivipara,Zootoca vivipara,Thamnophis sirtalis
Lampetra fluviatilis,Lampetra fluviatilis,Mus musculus
Chelon labrosus,Chelon labrosus,Amphiprion ocellaris
Pollachius pollachius,Pollachius pollachius,Amphiprion ocellaris
Labrus mixtus,Labrus mixtus,Larimichthys crocea
Zeus faber,Zeus faber,Amphiprion ocellaris
Labrus bergylta,Labrus bergylta,Larimichthys crocea
Eutrigla gurnardus,Eutrigla gurnardus,Pungitius pungitius
Sardina pilchardus,Sardina pilchardus,Clupea harengus
Sprattus sprattus,Sprattus sprattus,Clupea harengus
Mesoplodon bidens,Mesoplodon bidens,Tursiops truncatus
Vespertilio murinus,Vespertilio murinus,Rousettus aegyptiacus
Aythya ferina,Aythya ferina,Chauna torquata
Clangula hyemalis,Clangula hyemalis,Chauna torquata
Anas acuta,Anas acuta,Chauna torquata
Chroicocephalus ridibundus,Chroicocephalus ridibundus,Larus marinus
Larus fuscus,Larus fuscus,Larus marinus
Anser brachyrhynchus,Anser brachyrhynchus,Chauna torquata
Bucephala clangula,Bucephala clangula,Chauna torquata
Netta rufina,Netta rufina,Chauna torquata
Neogale vison,Neovison vison,Neogale vison
Talpa europaea,Talpa europaea,Cervus nippon
Bombina variegata,Bombina variegata,Mus musculus
Numenius arquata,Numenius arquata,Larus marinus
Echiichthys vipera,Echiichthys vipera,Pungitius pungitius
Limanda limanda,Limanda limanda,Paralichthys olivaceus
Blennius ocellaris,Blennius ocellaris,Amphiprion ocellaris
Rhamphochromis sp. 'chilingali',Rhamphochromis,Poecilia reticulata
Rangifer tarandus platyrhynchus,Rangifer tarandus platyrhynchus,Cervus nippon
Somateria mollissima,Somateria mollissima,Chauna torquata
Abramis brama,Abramis brama,Cyprinus carpio
Gobio gobio,Gobio gobio,Cyprinus carpio
Barbatula barbatula,Barbatula barbatula,Cyprinus carpio
Scardinius erythrophthalmus,Scardinius erythrophthalmus,Cyprinus carpio
Pungitius pungitius,Pungitius pungitius,Pungitius pungitius
Anas platyrhynchos,Anas platyrhynchos,Chauna torquata
Grus grus,Grus grus,Saxicola maurus
Vulpes vulpes,Vulpes vulpes,Vulpes vulpes
