scientific_name	assembly_id	gcf	assembly_category	assembly_bio_sample_accession	assembly_name	contig_n50	scaffold_n50	last_updated	taxon_id	taxon_rank	assembly_id_no_version	version	synonym	tolid_prefix	common_name	subspecies	species	genus	family	order	class	qv_score	assigned_percent	assembly_span	ungapped_span	contig_l50	scaffold_l50	contig_count	scaffold_count	chromosome_count	sequence_count	gc_percent	n_percent	source_accession	bioproject	assembly_level	sample_sex	refseq_category	submitter	gene_count	protein_count	busco_completeness	busco_lineage	busco_string	project	assembly_bio_project_accession	assembly_sequencing_tech	pacbio	nanopore	taxonomic_group
Phalacrocorax aristotelis	GCA_949628215.1	NA	pri	SAMEA10059652	bGulAri2.1	11420000	78889319	2023-04-08	126867	species	GCA_949628215	1	[""Phalacrocorax aristotelis""]	[""bGulAri""]	[""European Shag""]	NA	Phalacrocorax aristotelis	Phalacrocorax	Phalacrocoracidae	Suliformes	Aves	NA	96.22	1279116138	1279071921	34	5	574	352	36	352	43.11	0	NA	PRJEB40665;PRJEB43510;PRJEB57282;PRJEB60539;PRJNA489243;PRJNA533106	Chromosome	female	representative genome	WELLCOME SANGER INSTITUTE	NA	NA	97.2	aves_odb10	C:97.2%[S:96.6%,D:0.6%],F:0.5%,M:2.2%,n:8338	VGP	PRJEB60539	PacBio,Arima2	true	false	bird
Phalacrocorax aristotelis	GCA_949628205.1	NA	alt	SAMEA10059652	bGulAri2.1 alternate haplotype	191789	191789	2023-04-09	126867	species	GCA_949628205	1	[""Pelecanus aristotelis""]	NA	NA	NA	Phalacrocorax aristotelis	Phalacrocorax	Phalacrocoracidae	Suliformes	Aves	NA	NA	1080507657	1080507640	1626	1626	9752	9751	NA	9751	43	NA	NA	PRJEB40665;PRJEB43510;PRJEB57282;PRJEB60538;PRJNA489243;PRJNA533106	Scaffold	female	NA	WELLCOME SANGER INSTITUTE	NA	NA	NA	NA	NA	VGP	PRJEB60538	PacBio,Arima2	true	false	bird
Spermophilus citellus	GCA_964194095.1	NA	alt	SAMEA10332752	mSpeCit3.1 alternate haplotype	228734	NA	2024-06-27	9997	species	GCA_964194095	1	[""Mus citellus""]	NA	NA	NA	Spermophilus citellus	Spermophilus	Sciuridae	Rodentia	Mammalia	NA	NA	2268893178	2268893178	2090	NA	28066	NA	NA	28066	40	NA	NA	PRJEB43510;PRJEB47820;PRJEB73447;PRJEB76893;PRJNA489243;PRJNA533106	Contig	female	representative genome	WELLCOME SANGER INSTITUTE	NA	NA	NA	NA	NA	VGP	PRJEB76893	PacBio,Arima2	true	false	mammal
Spermophilus citellus	GCA_964194105.1	NA	pri	SAMEA10332752	mSpeCit3.1	3445081	155990855	2024-06-28	9997	species	GCA_964194105	1	[""Mus citellus""]	NA	NA	NA	Spermophilus citellus	Spermophilus	Sciuridae	Rodentia	Mammalia	NA	95.48	3090032603	3089745403	279	8	1933	497	20	497	40	NA	NA	PRJEB43510;PRJEB47820;PRJEB73447;PRJEB76892;PRJNA489243;PRJNA533106	Chromosome	female	representative genome	WELLCOME SANGER INSTITUTE	NA	NA	NA	NA	NA	VGP	PRJEB76892	PacBio,Arima2	true	false	mammal
Erpetoichthys calabaricus	GCA_900747795.4	GCF_900747795.2	pri	SAMEA104026374	fErpCal1.3	6772339	217689105	2021-07-07	27687	species	GCA_900747795	4	[""Calamoichthys calabaricus""]	NA	NA	NA	Erpetoichthys calabaricus	Erpetoichthys	Polypteridae	Polypteriformes	Cladistia	NA	NA	3613534470	3583826813	155	6	1599	168	18	168	39.5	NA	NA	PRJEB31579;PRJEB31587;PRJNA489243;PRJNA533106	Chromosome	NA	representative genome	Wellcome Sanger Institute	27285	22075	NA	NA	NA	VGP	PRJEB31579	NA	unknown	unknown	bony fish
Erpetoichthys calabaricus	GCA_900700845.3	NA	alt	SAMEA104026374	fErpCal1.3 alternate haplotype	262352	262488	2021-07-07	27687	species	GCA_900700845	3	[""Calamoichthys calabaricus""]	NA	NA	NA	Erpetoichthys calabaricus	Erpetoichthys	Polypteridae	Polypteriformes	Cladistia	NA	NA	3014944822	3014630363	3447	3437	17099	17082	NA	17082	39.5	NA	NA	PRJEB31582;PRJEB31587;PRJNA489243;PRJNA533106	Scaffold	NA	NA	Wellcome Sanger Institute	NA	NA	NA	NA	NA	VGP	PRJEB31582	NA	unknown	unknown	bony fish
Anabas testudineus	GCA_900324465.3	NA	pri	SAMEA104026376	fAnaTes1.3	7055436	25063394	2021-04-24	64144	species	GCA_900324465	3	[""Amphiprion scansor""]	[""fAnaTes""]	[""climbing perch""]	NA	Anabas testudineus	Anabas	Anabantidae	Anabantiformes	Actinopteri	NA	99.75	555641398	552034902	25	10	316	50	23	50	40.15	0.65	NA	PRJEB25768;PRJEB30393;PRJNA489243;PRJNA533106	Chromosome	male	representative genome	Wellcome Sanger Institute	NA	NA	98.8	actinopterygii_odb10	C:98.8%[S:98.0%,D:0.7%],F:0.2%,M:1.0%,n:3640	VGP	PRJEB25768	NA	unknown	unknown	bony fish
Anabas testudineus	GCA_900650485.1	NA	alt	SAMEA104026376	fAnaTes1.2 alternate haplotype	1056890	1103271	2019-02-07	64144	species	GCA_900650485	1	[""Amphiprion scansor""]	[""fAnaTes""]	[""climbing perch""]	NA	Anabas testudineus	Anabas	Anabantidae	Anabantiformes	Actinopteri	NA	NA	539091056	536983530	131	126	2677	2641	NA	2641	40.41	0.39	NA	PRJEB30391;PRJEB30393;PRJNA489243;PRJNA533106	Scaffold	male	NA	SC	NA	NA	92.6	actinopterygii_odb9	C:92.6%[S:88.7%,D:3.9%],F:1.8%,M:5.6%,n:4584	VGP	PRJEB30391	NA	unknown	unknown	bony fish
Gouania willdenowi	GCA_900634775.2	NA	pri	SAMEA104026382	fGouWil2.2	1838341	38978045	2020-07-31	441366	species	GCA_900634775	2	[""Rupisuga nicensis""]	[""fGouWil""]	[""blunt-snouted clingfish""]	NA	Gouania willdenowi	Gouania	Gobiesocidae	Blenniiformes	Actinopteri	NA	93.54	937150793	922797289	132	11	1594	441	23	441	37.7	1.53	NA	PRJEB30359;PRJEB30363;PRJNA489243;PRJNA533106	Chromosome	NA	representative genome	SC	NA	NA	96.2	actinopterygii_odb10	C:96.2%[S:94.2%,D:1.9%],F:0.9%,M:3.0%,n:3640	VGP	PRJEB30359	NA	unknown	unknown	bony fish
Gouania willdenowi	GCA_900650505.1	NA	alt	SAMEA104026382	fGouWil2.1 alternate haplotype	173852	173852	2019-02-07	441366	species	GCA_900650505	1	[""Rupisuga nicensis""]	[""fGouWil""]	[""blunt-snouted clingfish""]	NA	Gouania willdenowi	Gouania	Gobiesocidae	Blenniiformes	Actinopteri	NA	NA	759272921	759272890	1237	1237	7675	7674	NA	7674	38.2	0	NA	PRJEB30360;PRJEB30363;PRJNA489243;PRJNA533106	Scaffold	NA	NA	SC	NA	NA	75.5	actinopterygii_odb9	C:75.5%[S:69.9%,D:5.6%],F:5.0%,M:19.5%,n:4584	VGP	PRJEB30360	NA	unknown	unknown	bony fish
Thalassophryne amazonica	GCA_902500255.1	GCF_902500255.1	pri	SAMEA104129913	fThaAma1.1	2329598	118421481	2019-09-30	390379	species	GCA_902500255	1	[""Thalassophryne amazonica""]	[""fThaAma""]	NA	NA	Thalassophryne amazonica	Thalassophryne	Batrachoididae	Batrachoidiformes	Actinopteri	NA	NA	2446592878	2433998630	310	9	3013	464	23	464	41.79	0.51	NA	PRJEB34606;PRJEB34607;PRJNA489243;PRJNA533106	Chromosome	NA	representative genome	SC	31773	22351	95.6	actinopterygii_odb10	C:95.6%[S:94.4%,D:1.2%],F:1.1%,M:3.3%,n:3640	VGP	PRJEB34606	NA	unknown	unknown	bony fish
