assembly_bio_sample_accession	scientific_name	taxonomic_group	genus	family	order	class	taxon_rank	pacbio	nanopore	project	assembly_id_pri	assembly_id_alt	contig_n50_pri	contig_n50_alt	scaffold_n50_pri	scaffold_n50_alt	assembly_name_pri	assembly_name_alt	gcf_pri	gcf_alt	assembly_span_pri	assembly_span_alt	assembly_level_pri	assembly_level_alt	scientific_name_for_timetree
SAMEA10059652	Phalacrocorax aristotelis	bird	Phalacrocorax	Phalacrocoracidae	Suliformes	Aves	species	true	false	VGP	GCA_949628215.1	GCA_949628205.1	11420000	191789	78889319	191789	bGulAri2.1	bGulAri2.1 alternate haplotype	NA	NA	1279116138	1080507657	Chromosome	Scaffold	Phalacrocorax aristotelis
SAMEA10332752	Spermophilus citellus	mammal	Spermophilus	Sciuridae	Rodentia	Mammalia	species	true	false	VGP	GCA_964194105.1	GCA_964194095.1	3445081	228734	155990855	NA	mSpeCit3.1	mSpeCit3.1 alternate haplotype	NA	NA	3090032603	2268893178	Chromosome	Contig	Spermophilus citellus
SAMEA104026374	Erpetoichthys calabaricus	ray-finned fish	Erpetoichthys	Polypteridae	Polypteriformes	Cladistia	species	unknown	unknown	VGP	GCA_900747795.4	GCA_900700845.3	6772339	262352	217689105	262488	fErpCal1.3	fErpCal1.3 alternate haplotype	GCF_900747795.2	NA	3613534470	3014944822	Chromosome	Scaffold	Erpetoichthys calabaricus
SAMEA104026376	Anabas testudineus	ray-finned fish	Anabas	Anabantidae	Anabantiformes	Actinopteri	species	unknown	unknown	VGP	GCA_900324465.3	GCA_900650485.1	7055436	1056890	25063394	1103271	fAnaTes1.3	fAnaTes1.2 alternate haplotype	NA	NA	555641398	539091056	Chromosome	Scaffold	Anabas testudineus
SAMEA104026382	Gouania willdenowi	ray-finned fish	Gouania	Gobiesocidae	Blenniiformes	Actinopteri	species	unknown	unknown	VGP	GCA_900634775.2	GCA_900650505.1	1838341	173852	38978045	173852	fGouWil2.2	fGouWil2.1 alternate haplotype	NA	NA	937150793	759272921	Chromosome	Scaffold	Gouania willdenowi
SAMEA104129913	Thalassophryne amazonica	ray-finned fish	Thalassophryne	Batrachoididae	Batrachoidiformes	Actinopteri	species	unknown	unknown	VGP	GCA_902500255.1	GCA_902500245.1	2329598	119171	118421481	119214	fThaAma1.1	fThaAma1.1 alternate haplotype	GCF_902500255.1	NA	2446592878	1767810094	Chromosome	Scaffold	Thalassophryne amazonica
SAMEA104129917	Denticeps clupeoides	ray-finned fish	Denticeps	Denticipitidae	Clupeiformes	Actinopteri	species	unknown	unknown	VGP	GCA_900700375.2	GCA_900700345.2	3059612	384267	22793177	384267	fDenClu1.2	fDenClu1.1 alternate haplotype	NA	NA	567401054	457704509	Chromosome	Scaffold	Denticeps clupeoides
SAMEA104130240	Danio kyathit	ray-finned fish	Danio	Danionidae	Cypriniformes	Actinopteri	species	unknown	unknown	Other	GCA_903798195.1	GCA_903798155.1	1264270	419190	64228523	420079	fDanKya3.1	fDanKya3.1 alternate haplotype	NA	NA	1708446541	1550397046	Chromosome	Scaffold	Danio kyathit
SAMEA104132831	Harpagifer antarcticus	ray-finned fish	Harpagifer	Harpagiferidae	Perciformes	Actinopteri	species	unknown	unknown	Other	GCA_902827135.1	GCA_902827095.1	1048452	157921	4997231	167204	fHarAnt1.1	fHarAnt1.1 alternate haplotype	NA	NA	941503312	908431605	Scaffold	Scaffold	Harpagifer antarcticus
SAMEA104132834	Trematomus bernacchii	ray-finned fish	Trematomus	Nototheniidae	Perciformes	Actinopteri	species	unknown	unknown	Other	GCA_902827165.1	GCA_902827105.1	1402669	176545	8748152	190305	fTreBer1.1	fTreBer1.1 alternate haplotype	GCF_902827165.1	NA	867125071	950296928	Scaffold	Scaffold	Trematomus bernacchii
