"","assembly_bio_sample_accession","scientific_name","assembly_id_pri","taxonomic_group","assemblyInfo_biosample_geoLocName","assemblyInfo_biosample_latLon","assemblyInfo_comments","geo_location","latlon","lat","lon"
"1","SAMEA10059652","Phalacrocorax aristotelis","GCA_949628215.1","bird","United Kingdom",NA,"The assembly bGulAri2.1 is based on 42x PacBio data and Arima2 Hi-C data generated by the Darwin Tree of Life Project
(https://www.darwintreeoflife.org/). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, retained haplotig separation with purge_dups, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.","United Kingdom",NA,54.7023545,-3.2765753
"2","SAMEA10332752","Spermophilus citellus","GCA_964194105.1","mammal","Greece",NA,"The assembly mSpeCit3.1 is based on 30x PacBio data and Arima2 Hi-C data generated by the Wellcome Sanger Institute Tree of Life Programme (https://www.sanger.ac.uk/programme/tree-of-life/) as part of the European Reference Genome Atlas pilot project
(https://www.erga-biodiversity.eu/pilot-project). The assembly process included the following sequence of steps: initial PacBio assembly generation with Hifiasm, and Hi-C based scaffolding with YaHS. The mitochondrial genome was assembled using MitoHiFi. Finally, the primary assembly was analysed and manually improved using TreeVal. This alternate haplotype assembly combines the haplotigs separated by purge_dups with haplotigs separated from the primary assembly during curation. The order and orientation of contigs in Chromosome 12 between approximately 23.6-68.8Mb is unsure.Chromosome X identified by alignment to GCA_902686455.2 and GCA_902686445.2","Greece",NA,38.9953683,21.9877132
"3","SAMEA104026374","Erpetoichthys calabaricus","GCA_900747795.4","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"4","SAMEA104026376","Anabas testudineus","GCA_900324465.3","ray-finned fish",NA,NA,"The assembly fAnaTes1.3 is based on 68x PacBio Sequel data, 114x coverage Illumina HiSeqX data from a 10X Genomics Chromium library generated at the Wellcome Sanger Institute as well as BioNano Saphyr DLE data generated at the Rockefeller University Vertebrate Genome Laboratory and 170x coverage HiSeqX data from a Hi-C library prepared by Arima Genomics. An initial PacBio assembly was made using Falcon-unzip. The primary contigs were then scaffolded using the 10X data with scaff10x and mis-joins broken using break10x. After using the PacBio data to gap fill with PBJelly and polish with Arrow, the assembly was polished again using the 10X Illumina data and freebayes. Finally, the assembly was further manually curated using gEVAL to correct mis-joins and improve concordance with the BioNano data and Arima Hi-C data. This was the initial fAnaTes1.1 assembly. An updated fAnaTes1.2 assembly has been further curated to removed duplicate haplotypes using purge_haplotigs and using the Hi-C data to identify further breaks and joins and produce chromosomal-level scaffolds. fAnaTes1.3 includes a mitochondrial assembly produced at The Rockefeller University using mitoVGP. Chromosomes have been named by synteny to medaka.",NA,NA,NA,NA
"5","SAMEA104026382","Gouania willdenowi","GCA_900634775.2","ray-finned fish",NA,NA,"The assembly fGouWil2.2 is based on
58x PacBio Sequel data,
67x coverage Illumina HiSeqX data from a 10X Genomics Chromium library and two-enzyme BioNano Irys data generated at the Wellcome Sanger Institute as well as
83x coverage HiSeqX data from a Hi-C library prepared by Arima Genomics. The assembly was made using the Vertebrate Genomes Project v1.5 assembly pipeline on DNAnexus. An initial PacBio assembly was made using Falcon-unzip, and retained haplotigs were identified using purge_haplotigs. The primary contigs were then scaffolded using the 10X data with scaff10x, then scaffolded further with BioNano hybrid scaffolding and scaffolded further still using the Hi-C data with SALSA2. Polishing and gap-filling of both the primary scaffolds and haplotigs was performed using the PacBio reads and Arrow, followed by two rounds of Illumina polishing using the 10X data and freebayes. The mitochondrial assembly was produced at The Rockefeller University using mitoVGP. Finally, the assembly was manually improved using gEVAL to correct mis-joins and improve concordance with the BioNano and Hi-C data. Chromosomes are named by synteny to medaka.",NA,NA,NA,NA
"6","SAMEA104129913","Thalassophryne amazonica","GCA_902500255.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"7","SAMEA104129917","Denticeps clupeoides","GCA_900700375.2","ray-finned fish",NA,NA,"The assembly fDenClu1.2 is based on 63x PacBio Sequel data and 89x coverage Illumina HiSeqX data from a 10X Genomics Chromium library generated at the Wellcome Sanger Institute, as well as BioNano Saphyr DLE data generated at the Rockefeller University Vertebrate Genome Laboratory and 95x coverage HiSeqX data from a Hi-C library prepared by Arima Genomics. An initial PacBio assembly of fDenClu1 was made using Falcon-unzip, and retained haplotigs were identified using purge_haplotigs. The primary contigs were then scaffolded using the 10X data with scaff10x, then scaffolded further with BioNano hybrid scaffolding and scaffolded further still using the Hi-C data with SALSA2. Polishing and gap-filling of both the primary scaffolds and haplotigs was performed using the PacBio reads and Arrow, followed by two rounds of Illumina polishing using the 10X data and freebayes. The mitochondrial assembly was produced at The Rockefeller University using mitoVGP. Finally, the assembly was manually improved using gEVAL to correct mis-joins, improve concordance with the BioNano and Hi-C data and remove retained haplotypic duplication using purge_haplotigs. Chromosomes identified from the Hi-C data have been named in order of size.",NA,NA,NA,NA
"8","SAMEA104130240","Danio kyathit","GCA_903798195.1","ray-finned fish",NA,NA,"The assembly fDanKya3.1 is based on 51x PacBio data, 50x 10X Genomics Chromium data, BioNano data and 28x Dovetail Hi-C data generated at the Wellcome Sanger Institute. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig separation with purge_dups, 10X based scaffolding with scaff10x, BioNano hybrid-scaffolding with Solve, Hi-C based scaffolding with SALSA2, Arrow polishing, and two rounds of FreeBayes polishing. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds are named by synteny to the GRCz11 assembly of Danio rerio.",NA,NA,NA,NA
"9","SAMEA104132831","Harpagifer antarcticus","GCA_902827135.1","ray-finned fish",NA,NA,"The assembly fHarAnt1.1 is based on 67x PacBio data, 40x 10X Genomics Chromium data, and BioNano data generated at the Wellcome Sanger Institute. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig identification with Purge Haplotigs, 10X based scaffolding with scaff10x, BioNano hybrid-scaffolding, Arrow polishing, and two rounds of FreeBayes polishing. Finally, the assembly was analysed and manually improved using gEVAL, and further retained haplotigs were identified using purge_dups.",NA,NA,NA,NA
"10","SAMEA104132834","Trematomus bernacchii","GCA_902827165.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"11","SAMEA104240207","Neostethus bicornis","GCA_902685375.1","ray-finned fish",NA,NA,"The assembly fNeoBic2.1 is based on 119x PacBio data and 44x 10X Genomics Chromium data generated at the Wellcome Sanger Institute. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig identification with purge_dups, 10X based scaffolding with scaff10x, Arrow polishing, and two rounds of FreeBayes polishing. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds are named by synteny to medaka.",NA,NA,NA,NA
"12","SAMEA104240212","Danio aesculapii","GCA_903798145.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"13","SAMEA104242975","Cottoperca gobio","GCA_900634415.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"14","SAMEA104242997","Gymnodraco acuticeps","GCA_902827175.1","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"15","SAMEA104381735","Betta splendens","GCA_900634795.4","ray-finned fish",NA,NA,NA,NA,NA,NA,NA
"16","SAMEA104384834","Takifugu rubripes","GCA_901000725.3","ray-finned fish",NA,NA,"The assembly fTakRub1.3 is based on
83x PacBio Sequel data,
70x coverage Illumina HiSeqX data from a 10X Genomics Chromium library generated at the Wellcome Sanger Institute as well as BioNano Saphyr DLE data generated at the Rockefeller University Vertebrate Genome Laboratory and
51x coverage HiSeqX data from a Hi-C library prepared by Arima Genomics. An initial PacBio assembly was made using Falcon-unzip, and retained haplotigs were identified using purge_haplotigs. The primary contigs were then scaffolded using the 10X data with scaff10x, then scaffolded further with BioNano hybrid scaffolding and scaffolded further still using the Hi-C data with SALSA2. Polishing and gap-filling of both the primary scaffolds and haplotigs was performed using the PacBio reads and Arrow, followed by two rounds of Illumina polishing using the 10X data and freebayes. The mitochondrial assembly was produced at The Rockefeller University using mitoVGP. Finally, the assembly was manually improved using gEVAL to correct mis-joins and improve concordance with the BioNano and Hi-C data. Chromosome-scale scaffolds are named by synteny to the GCA_000180615.2 assembly of Takifugu rubripes.",NA,NA,NA,NA
"17","SAMEA104384835","Sparus aurata","GCA_900880675.2","ray-finned fish",NA,NA,"The assembly fSpaAur1.2 is based on
56x PacBio Sequel data,
62x coverage Illumina HiSeqX data from a 10X Genomics Chromium library generated at the Wellcome Sanger Institute, as well as
71x coverage HiSeqX data from a Hi-C library prepared by Arima Genomics. An initial PacBio assembly was made using Falcon-unzip, and retained haplotigs were identified using purge_haplotigs. The primary contigs were then scaffolded using the 10X data with scaff10x, then scaffolded further using the Hi-C data with SALSA2. Polishing and gap-filling of both the primary scaffolds and haplotigs was performed using the PacBio reads and Arrow, followed by two rounds of Illumina polishing using the 10X data and freebayes. The mitochondrial assembly was produced at The Rockefeller University using mitoVGP. Finally, the assembly was manually improved using gEVAL to correct mis-joins and improve concordance with the raw data. Chromosomes are named according to synteny with the GCA_003309015.1 assembly of Sparus aurata.",NA,NA,NA,NA
"18","SAMEA104387956","Rhinatrema bivittatum","GCA_901001135.2","amphibian",NA,NA,"The assembly aRhiBiv1.2 is based on
43x PacBio data and
41x coverage 10X Genomics Chromium data generated at the Wellcome Sanger Institute, BioNano data generated by BioNano Genomics, and
39x coverage Hi-C data generated at the Wellcome Sanger Institute using a library created by Arima Genomics. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig identification with Purge Haplotigs, 10X based scaffolding with scaff10x, BioNano hybrid-scaffolding, Hi-C based scaffolding with SALSA2, Arrow polishing, and two rounds of FreeBayes polishing. The mitochondrial assembly was produced at The Rockefeller University using mitoVGP. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",NA,NA,NA,NA
"19","SAMEA104387962","Microcaecilia unicolor","GCA_901765095.2","amphibian",NA,NA,"The assembly aMicUni1.2 is based on
53x PacBio data,
52x coverage 10X Genomics Chromium data, BioNano data and
25x coverage Arima Hi-C data generated at the Wellcome Sanger Institute. The assembly process included the following sequence of steps: initial PacBio assembly generation with Falcon-unzip, retained haplotig identification with Purge Haplotigs, 10X based scaffolding with scaff10x, BioNano hybrid-scaffolding, Hi-C based scaffolding with SALSA2, Arrow polishing, and two rounds of FreeBayes polishing. The mitochondrial assembly was produced at The Rockefeller University using mitoVGP. Finally, the assembly was analysed and manually improved using gEVAL. Chromosome-scale scaffolds confirmed by the Hi-C data have been named in order of size.",NA,NA,NA,NA
